Kategori,Url Berita,Tanggal,Ringkasan Fenomena,Sentiment,Alasan
Tanaman Pangan,"https://www.kodim0816-sidoarjo.com/detailpost/forkopimda-gelar-penanaman-jagung-1-juta-hektar-di-balongbendo-untuk-dukung-swasembada-pangan-2025, https://radarsidoarjo.jawapos.com/kota-delta/855597597/tanam-padi-bersama-pemkab-sidoarjo-siap-dukung-program-contract-farming-dki-jakarta-dengan-jatim, https://www.antaranews.com/berita/4730185/komisi-vii-dpr-ri-apresiasi-panen-padi-di-sidoarjo#google_vignette, https://panperta.sidoarjokab.go.id/template-1/002/1678765747, https://surabaya.pikiran-rakyat.com/ekonomi/pr-3929193212/melihat-potensi-pertanian-di-sidoarjo-bupati-subandi-ingin-masyarakat-lebih-sejahtera, https://www.detik.com/jatim/berita/d-7842280/kapolda-jatim-pimpin-panen-raya-jagung-hibrida-di-sidoarjo",22 Januari; 26 Februari; 22 Maret; 11 Maret; 27 Mar; 26 Mar,"Pada tanggal 21 Januari 2025, Forkopimda Kabupaten Sidoarjo menggelar kegiatan penanaman jagung serentak seluas 1 juta hektar di Dusun Ciro Kulon, Desa Bakungtemenggungan, Kecamatan Balongbendo. Acara ini dihadiri oleh sekitar 80 peserta yang terdiri dari berbagai elemen masyarakat, termasuk petani, aparat pemerintah, dan tokoh masyarakat setempat. Kegiatan ini dimulai dengan video virtual peluncuran yang dipimpin oleh Menteri Pertanian dan Pidum Kejari Sidoarjo. Peluncuran tersebut menjadi simbol dimulainya gerakan nasional penanaman jagung serentak di seluruh wilayah Indonesia. Kegiatan ini bertujuan untuk mendukung program swasembada pangan nasional 2025 dan meningkatkan kesejahteraan masyarakat, terutama para petani lokal. Dalam kesempatan yang sama, Forkopimda Sidoarjo menyerahkan bantuan sembako kepada 8 perwakilan kelompok tani dari Desa Bakungtemenggungan. Selain itu, kegiatan ini juga dilanjutkan dengan peninjauan Pekarangan Pangan Bergizi dan penebaran ikan gurami sebagai langkah diversifikasi pangan dan peningkatan gizi masyarakat. Dengan demikian, kegiatan ini diharapkan dapat meningkatkan keberagaman konsumsi pangan serta memperkuat ketahanan pangan di tingkat rumah tangga.",Positif,"Berdasarkan konten, dapat diketahui bahwa kegiatan penanaman jagung serentak yang diorganisir oleh Forkopimda Kabupaten Sidoarjo memiliki tujuan untuk mendukung program swasembada pangan nasional 2025 dan meningkatkan kesejahteraan masyarakat, terutama para petani lokal. Kegiatan ini juga dilanjutkan dengan peninjauan Pekarangan Pangan Bergizi dan penebaran ikan gurami sebagai langkah diversifikasi pangan dan peningkatan gizi masyarakat. Hal-hal tersebut menunjukkan bahwa kegiatan ini memiliki tujuan yang positif, yaitu untuk meningkatkan kesejahteraan dan kualitas hidup masyarakat. Selain itu, kegiatan ini juga diharapkan dapat meningkatkan keberagaman konsumsi pangan serta memperkuat ketahanan pangan di tingkat rumah tangga, yang secara keseluruhan memiliki implikasi positif bagi masyarakat."
Tanaman Hortikultura Semusim,"https://www.detik.com/jatim/berita/d-7750071/polisi-sidoarjo-edukasi-dan-dukung-santri-tanam-buah-hidroponik, https://finance.detik.com/berita-ekonomi-bisnis/d-7723040/mendag-zulhas-tinjau-pasar-di-sidoarjo-temukan-harga-cabai-rp-90-000-kg, https://radarsidoarjo.jawapos.com/kota-delta/855684052/pengurus-rt-16-desa-boro-tanggulangin-sidoarjo-kunjungi-rumah-anggur-dan-hidroponik-dukung-program-ketahanan-pangan, https://portal-indonesia.com/bhabinkamtibmas-sambibulu-dorong-ketahanan-pangan-lewat-hortikultura/",25 Januari; 8 Januari; 24 Februari; 15 Maret,"Kami berbicara tentang Polisi Sidoarjo yang memberikan edukasi dan dukungan terhadap santri di SMP Progressif Ponpes Bumi Shalawat, Desa Lebo, Kecamatan Kota Sidoarjo. Program ini bertujuan untuk membangun ketahanan pangan nasional melalui penanaman buah-buahan dengan sistem hidroponik. Polsek Kota Sidoarjo memberikan edukasi dan suport terhadap santri untuk memanfaatkan lahan sempat sebagai lahan menanam buah-buahan dengan sistem hidroponik.

Edukasi ini dilakukan dengan mengajak santri untuk menanam dan merawat kebun, serta meningkatkan produksi buah. Dalam sambungannya, Kepala Sekolah SMP Progressif Ponpes Bumi Shalawat, Mahmud Al Fahmi, mengatakan bahwa konsep penanaman buah-buahan dengan sistem hidroponik ini menjadi bagian dari kurikulum pendidikan di sekolahan progressif Bumi Shalawat.

Dengan demikian, Polisi Sidoarjo berkomitmen untuk mendukung program ketahanan pangan nasional dan memberikan edukasi serta dukungan terhadap santri untuk membangun kebaikan ponpes.",Positif,"Berdasarkan konten, dapat dilihat bahwa Polisi Sidoarjo memberikan edukasi dan dukungan terhadap santri di SMP Progressif Ponpes Bumi Shalawat untuk membangun ketahanan pangan nasional melalui penanaman buah-buahan dengan sistem hidroponik. Selain itu, Kepala Sekolah SMP Progressif Ponpes Bumi Shalawat juga mengatakan bahwa konsep penanaman buah-buahan dengan sistem hidroponik ini menjadi bagian dari kurikulum pendidikan di sekolahan progressif Bumi Shalawat. Hal-hal tersebut menunjukkan komitmen Polisi Sidoarjo untuk mendukung program ketahanan pangan nasional dan memberikan edukasi serta dukungan terhadap santri."
Perkebunan Semusim,"https://www.detik.com/jatim/berita/d-7796533/dukung-ketahanan-pangan-polisi-di-sidoarjo-panen-raya-jagung, https://seru.co.id/191752-dinas-perkebunan-jatim-dorong-pelaku-usaha-gula-tingkatkan-produksi-untuk-swasembada",26 Februari; 10 Maret,"Berita dari Detik.com berjudul ""Dukung Ketahanan Pangan, Polisi di Sidoarjo Panen Raya Jagung"" menunjukkan bahwa Polresta Sidoarjo bersama pemangku kepentingan lainnya telah melaksanakan panen raya jagung serentak tahap pertama di Desa Bulang, Kecamatan Prambon. Acara ini dilakukan sebagai bagian dari program ketahanan pangan nasional dan bertujuan meningkatkan swasembada pangan. Panen raya ini menghasilkan sekitar delapan ton jagung dengan menggunakan varietas unggul yang memiliki produktivitas tinggi.

Kapolresta Sidoarjo, Kombes Christian Tobing, mengucapkan apresiasi kepada para petani dan pihak-pihak yang mendukung program ini. Ia menambahkan bahwa Polri akan terus berperan aktif dalam menjaga stabilitas pangan di daerah dan memiliki peran penting dalam mendukung kesejahteraan masyarakat, termasuk melalui program pertanian.

Program ini juga telah mendapat dukungan dari TNI, pemerintah daerah, serta kelompok tani setempat. Dengan sinergi berbagai pihak, diharapkan program ketahanan pangan dapat terus berkembang dan memberikan dampak positif bagi perekonomian petani di Kabupaten Sidoarjo.",Positif,"Berita ini menampilkan gambaran positif dengan deskripsi tentang keberhasilan program panen raya jagung yang dilakukan oleh Polresta Sidoarjo bersama pemangku kepentingan lainnya. Tujuan program tersebut, yakni meningkatkan swasembada pangan dan mendukung kesejahteraan masyarakat, juga dinyatakan sebagai something positive. Selain itu, Kapolresta Sidoarjo juga mengucapkan apresiasi kepada para petani dan pihak-pihak yang mendukung program ini, hal ini menunjukkan kesadaran akan peranan penting dari berbagai pihak dalam mencapai tujuan yang diinginkan. Dalam kaitannya dengan tema ketahanan pangan, keberhasilan program panen raya jagung juga dapat memiliki dampak positif bagi perekonomian petani di Kabupaten Sidoarjo. Oleh karena itu, sentimen dari berita ini dapat dipastikan sebagai positif."
Tanaman Hortikultura Tahunan dan Lainnya,"https://www.detik.com/jatim/berita/d-7727840/polisi-sidoarjo-dukung-program-ketahanan-pangan-ajak-warga-tanam-sayuran, https://www.detik.com/jatim/berita/d-7723842/polisi-dan-warga-di-sidoarjo-panen-kangkung-dukung-ketahanan-pangan, https://www.detik.com/jatim/bisnis/d-7840248/harga-sembako-jatim-25-maret-2025-cabai-dan-bawang-merah-naik, https://www.detik.com/jatim/bisnis/d-7840248/harga-sembako-jatim-25-maret-2025-cabai-dan-bawang-merah-naik",11 Januari; 8 Januari; 24 Februari; 25 Maret,"Berita tentang Polisi Sidoarjo yang mendukung program ketahanan pangan dengan mengajak warga memanfaatkan lahan sempit untuk menanam sayuran dengan sistem hidroponik. Program ini bertujuan meningkatkan ketersediaan pangan dan membuka peluang ekonomi baru bagi warga. Kapolsek Kota Sidoarjo AKP Ega Prayudi mengatakan bahwa pihaknya akan selalu mendukung program ketahanan pangan yang digagas oleh Presiden Prabowo Subianto.

Program penanaman sayuran hidroponik ini sangat bermanfaat bagi warga, bisa meningkatkan ketersediaan pangan lokal, serta membuka peluang ekonomi baru. Kapolsek juga mengapresiasi kreativitas dan inovasi warga RT.23 yang telah memanfaatkan lahan pekarangan secara maksimal. Program ini bahkan telah dijadikan role model bagi daerah lain.

Selain itu, program ini juga mendukung pencapaian Tujuan Pembangunan Berkelanjutan (SDGs) khususnya pada tujuan pertama dan kedua. Melalui program ini, warga dapat meningkatkan ketersediaan pangan lokal, memanfaatkan lahan terbatas dengan lebih efesien, serta membuka peluang ekonomi baru.",Positif,"Konten ini memiliki latar belakang positif karena berisi informasi tentang program yang bertujuan meningkatkan ketersediaan pangan, membuka peluang ekonomi baru, dan mendukung Tujuan Pembangunan Berkelanjutan (SDGs). Program penanaman sayuran hidroponik ini sangat bermanfaat bagi warga, dapat meningkatkan ketersediaan pangan lokal, serta membuka peluang ekonomi baru. Kapolsek juga mengapresiasi kreativitas dan inovasi warga RT.23 yang telah memanfaatkan lahan pekarangan secara maksimal."
Perkebunan Tahunan,"https://www.bps.go.id/id/statistics-table/2/OTQjMg==/produksi-perkebunan-besar-menurut-jenis-tanaman.html, https://disnak.jatimprov.go.id/web/posts/read/2325-dukung-program-makan-bergizi-gratis-dan-kecukupan-kebutuhan-susu-bagi-industri-pengolah-susu-indonesia-1250-ekor-sapi-jenis-frisien-holstein-didatangkan-dari-australia-ke-jawa-timur",17 Januari; 11 Maret,"Pemerintah Provinsi Jawa Timur menggelontorkan program peningkatan populasi sapi perah menuju peningkatan produksi susu segar di wilayah timur provinsi. Dalam rangka ini, sebanyak 1.250 ekor sapi perah jenis Frisien Holstein bunting anatra 4-6 bulan didatangkan dari Australia dan dibongkar muat di pelabuhan Tanjungwangi-Banyuwangi.

Kegiatan tersebut dihadiri oleh beberapa instansi, termasuk Balai Karantina Ikan, Hewan dan Tumbuhan Jawa Timur, Dinas Peternakan Provinsi Jawa Timur, dan Direktur Kesehatan Hewan Dirjen PKH. Tujuan dari kegiatan ini adalah untuk meningkatkan kualitas dan kuantitas produksi susu di Jawa Timur serta mendukung program makan bergizi gratis masyarakat dan berdampak signifikan terhadap kemajuan UMKM di provinsi.",Positif,"Konten ini memiliki elemen yang menunjukkan kebijakan yang positif terhadap pengembangan ekonomi dan kesejahteraan masyarakat di Provinsi Jawa Timur. Program peningkatan populasi sapi perah untuk meningkatkan produksi susu segar berpotensi mendukung program makan bergizi gratis masyarakat, sehingga dapat meningkatkan kualitas hidup masyarakat. Selain itu, kegiatan ini juga didukung oleh beberapa instansi yang terkait dengan peternakan dan kesehatan hewan, sehingga menunjukkan komitmen pemerintah dan stakeholders terhadap pengembangan sektor pertanian dan kesejahteraan masyarakat. Dalam bentuk, konten ini tidak memiliki unsur negatif atau kritik yang signifikan terhadap kebijakan pemerintah, sehingga dapat disimpulkan bahwa sentimen dari konten ini adalah positif."
Peternakan,"https://radarsidoarjo.jawapos.com/ekonomi-bisnis/855551265/kasus-pmk-di-sidoarjo-melonjak-penjualan-daging-sapi-di-pasar-porong-merosot, https://radarsidoarjo.jawapos.com/kota-delta/855673453/pmk-serang-ternak-sapi-milik-warga-di-sukodono-sidoarjo-harapkan-bantuan-vaksin-dari-pemerintah, https://disnak.jatimprov.go.id/web/posts/read/2325-dukung-program-makan-bergizi-gratis-dan-kecukupan-kebutuhan-susu-bagi-industri-pengolah-susu-indonesia-1250-ekor-sapi-jenis-frisien-holstein-didatangkan-dari-australia-ke-jawa-timur",21 Januari; 21 Februari; 11 Maret,"Kasus PMK di Sidoarjo melonjak penjualan daging sapi di Pasar Porong merosot, maka Dinas Peternakan Provinsi Jawa Timur berinisiatif untuk meningkatkan populasi sapi perah menuju peningkatan produksi susu segar di Jawa Timur. Pada tanggal 9 Maret 2025, sebanyak 1.250 ekor sapi perah jenis Frisien Holstein didatangkan dari Australia dan ditujukan pengembangan sapi perah di wilayah timur Provinsi Jawa Timur.

Dalam kegiatan tersebut juga dihadiri oleh Direktur Kesehatan Hewan Dirjen PKH dan Kepala Pusat Veteriner Farma. Kedatangan sapi perah impor ini adalah bagian dari implementasi peta jalan (road map) pengembangan sapi perah di Jawa Timur kontribusi dari pihak swasta (private sector) untuk mendukung program Makan Bergizi Gratis dan kecukupan kebutuhan susu bagi Industri Pengolah Susu (IPS) di Indonesia.

Dengan importasi sapi perah bibit unggul ini diharapkan mampu meningkatkan kualitas dan kuantitas produksi susu di Jawa Timur serta mendukung program Makan Bergizi Gratis masyarakat dan berdampak signifikan terhadap pemenuhan kebutuhan susu Nasional.",Positif,"Konten yang diberikan berisi tentang inisiatif Dinas Peternakan Provinsi Jawa Timur untuk meningkatkan populasi sapi perah dan produksi susu segar di wilayah timur Provinsi Jawa Timur. Kegiatan ini juga mendapat dukungan dari pihak swasta dan berpotensi meningkatkan kualitas dan kuantitas produksi susu, serta mendukung program Makan Bergizi Gratis masyarakat. Selain itu, konten juga menunjukkan keberhasilan dalam mengimport sapi perah impor yang diharapkan dapat memenuhi kebutuhan nasional. Keseluruhan isi konten berisi tentang upaya untuk meningkatkan produksi susu dan memberikan manfaat bagi masyarakat, sehingga dapat disimpulkan bahwa sentimen dari konten ini adalah positif."
Jasa Pertanian dan Perburuan,https://harianbangsa.net/berbagai-upaya-dinas-perkebunan-jatim-implementasikan-perda-8-tahun-2024-tentang-pengembangan-dan-perlindungan-pertembakauan,11 Maret,"Berbagai Upaya Dinas Perkebunan Jawa Timur Implementasikan Perda 8 Tahun 2024 tentang Pengembangan dan Perlindungan Pertembakauan. Kepala Dinas Perkebunan Provinsi Jawa Timur, Ir Dydik Rudy Prasetya MMA, mengatakan bahwa Jawa Timur sebagai provinsi penghasil tembakau terbesar di Indonesia dengan kontribusi sebesar 57,01 persen dari total produksi secara nasional. Untuk meningkatkan produksi tembakau di Jatim, pihaknya melakukan berbagai upaya, antara lain melalui pelaksanaan program peningkatan kualitas bahan baku dan penyuluhan serta pemberdayaan petani.

Selain itu, Dinas Perkebunan Jawa Timur juga meningkatkan luas areal perkebunan tembakau dari 88.969 hektare pada tahun 2022 menjadi 147.373 hektare pada tahun 2024. Penyuluhan dan pemberdayaan petani dilakukan untuk meningkatkan produksi tembakau dengan cara-cara intensifikasi tembakau melalui pemberian bantuan pupuk dan alat mesin pertanian.

Terkait implementasi Perda No. 8 Tahun 2024 tentang Pengembangan dan Perlindungan Pertembakauan, Dinas Perkebunan Jawa Timur juga melakukan pelatihan teknis pembibitan tembakau, pengendalian OPT dan PHT pada tanaman tembakau, serta penerapan teknologi pertanian untuk petani tembakau.",Positif,"Berdasarkan konten, dapat dilihat bahwa Dinas Perkebunan Jawa Timur melakukan berbagai upaya untuk meningkatkan produksi tembakau di provinsi tersebut. Mereka tidak hanya mengembangkan kualitas bahan baku dan menyuluhan petani, namun juga meningkatkan luas areal perkebunan tembakau dari tahun 2022 menjadi 2024. Selain itu, mereka juga melakukan pelatihan teknis untuk petani tembakau dan penerapan teknologi pertanian untuk meningkatkan produksi tembakau. Hal ini menunjukkan bahwa Dinas Perkebunan Jawa Timur memiliki komitmen yang kuat dalam meningkatkan produksi tembakau di provinsi tersebut."
Kehutanan dan Penebangan Kayu,"https://betahita.id/news/detail/10892/lebih-separuh-deforestasi-indonesia-2024-terjadi-di-konsesi.html?v=1738556646, https://hijau.bisnis.com/read/20250310/651/1859728/langkah-tegas-pemerintah-segel-vila-dan-destinasi-wisata-buntut-banjir-besar-di-jabodetabek",3 Februari; 10 Maret,"Hasil analisis menunjukkan bahwa sekitar 58,7 persen atau kurang lebih 153.498 hektare berada di areal izin usaha atau konsesi perusahaan. Seluas 36.068 hektare berada di konsesi logging (HPH/PBPH HHK-HA), 41.332 hektare di konsesi kebun kayu (HTI/PBPH HHK-HT), 38.615 hektare di konsesi tambang, dan sisanya sekitar 37.483 hektare di konsesi sawit.

Menurut Ketua Yayasan Auriga Nusantara, Timer Manurung, sistem dan hukum Indonesia pada dasarnya tidak melarang deforestasi, sehingga pemegang izin dapat melakukan deforestasi sepanjang pemerintah memberikan izin. Namun, pembabatan hutan alam dalam izin konversi (kebun kayu, sawit, dan pertambangan) sangat terbuka dilakukan secara legal oleh pemilik/pengelola konsesi tersebut.

Dalam laporan kajian berjudul Status Deforestasi Indonesia (Stadi) 2024, diperkirakan bahwa hanya 3 persen deforestasi 2024 yang terjadi di kawasan konservasi, sementara 5 persen terjadi di hutan lindung, 49 persen di hutan produksi, dan 43 persen di luar kawasan hutan atau areal penggunaan lain (APL).",Negatif,"Berdasarkan konten, dapat disimpulkan bahwa sentimen dari artikel ini adalah negatif. Penyajian data tentang deforestasi di Indonesia menunjukkan bahwa hutan produksi dan luar kawasan hutan terjadi dengan frekuensi tinggi (49% dan 43%). Hal ini menunjukkan adanya kerusakan lingkungan yang signifikan. Selain itu, pernyataan Timer Manurung, Ketua Yayasan Auriga Nusantara, bahwa sistem dan hukum Indonesia tidak melarang deforestasi juga menunjukkan kelemahan system dan perlindungan hutan. Keterbukaan melakukan deforestasi secara legal oleh pemilik/pengelola konsesi juga mengarah pada sentimen negatif terhadap perlindungan lingkungan di Indonesia."
Perikanan,"https://www.detik.com/jatim/berita/d-7747004/sebagian-hgb-laut-tumpang-tindih-dengan-tambak-warga-pbb-tak-bisa-terbit, https://www.detik.com/jatim/berita/d-7746627/dugaan-sementara-hgb-656-hektare-di-laut-sidoarjo-dulu-awalnya-tambak, https://www.detik.com/jatim/berita/d-7745116/bukan-dengan-bambu-hgb-656-ha-di-laut-sidoarjo-pernah-dipagari-kayu, https://kominfo.jatimprov.go.id/berita/upt-kementerian-kelautan-dan-perikanan-surabaya-pastikan-produk-perikanan-bebas-e-coli, https://kominfo.jatimprov.go.id/berita/kkp-siapkan-strategi-jaga-ketersediaan-ikan-selama-ramadan-hingga-lebaran, https://kkp.go.id/news/news-detail/kkp-genjot-produksi-perikanan-budi-daya-penuhi-kebutuhan-ramadan-hingga-lebaran-A6A1.html",23 Januari; 23 Januari; 22 Januari; 26 Februari; 10 Maret; 7 Maret; 5 Maret,"Fenomena yang dibahas mencakup dua isu utama di sektor kelautan dan perikanan. Isu pertama adalah konflik agraria di Sidoarjo, di mana penerbitan Hak Guna Bangunan (HGB) seluas 656 hektare di area laut tumpang tindih dengan lahan tambak milik warga. Konflik ini menyebabkan warga tidak dapat menerbitkan Pajak Bumi dan Bangunan (PBB). Isu kedua adalah langkah proaktif pemerintah melalui Kementerian Kelautan dan Perikanan (KKP) yang menyiapkan strategi untuk menjamin ketersediaan pasokan ikan nasional menjelang Ramadan dan Lebaran dengan meningkatkan produksi budidaya, serta memastikan produknya aman dan bebas bakteri E. coli.",Negatif,"Meskipun terdapat berita positif mengenai upaya KKP dalam menjaga pasokan dan keamanan pangan, sentimen keseluruhan dinilai negatif. Alasan utamanya adalah adanya konflik agraria yang sangat merugikan masyarakat lokal di Sidoarjo. Isu tumpang tindih HGB dengan tambak warga tidak hanya menciptakan ketidakpastian hukum tetapi juga menghambat hak warga untuk mendapatkan legalitas atas tanah yang mereka kelola melalui PBB. Masalah ini berdampak langsung pada hajat hidup dan stabilitas ekonomi warga petambak, yang merupakan sebuah persoalan serius dan belum terselesaikan. Adanya konflik yang merugikan warga ini menjadi faktor dominan yang membentuk sentimen negatif, melebihi berita positif tentang program pemerintah yang bersifat lebih umum."
"Pertambangan Minyak, Gas dan Panas Bumi","https://economy.okezone.com/read/2025/01/31/278/3109418/pgn-pgas-siapkan-belanja-modal-rp55-triliun-di-2025-bangun-infrastruktur-gas-dan-transisi-energi, https://radarsidoarjo.jawapos.com/kota-delta/855604083/disperindag-sidoarjo-distribusi-lpg-3-kg-aman, https://www.merdeka.com/uang/ternyata-ini-perusahaan-di-balik-bencana-semburan-lumpur-panas-di-sidoarjo-354602-mvk.html",31 Januari; 4 Februari; 21 Maret,"Terdapat tiga fenomena utama yang disorot terkait energi dan industri di Sidoarjo. Pertama, dari sisi layanan publik, Dinas Perindustrian dan Perdagangan (Disperindag) Sidoarjo menjamin bahwa distribusi LPG 3 kg di wilayahnya berjalan aman dan lancar. Kedua, dari skala nasional, PT Perusahaan Gas Negara (PGN) Tbk. mengumumkan rencana belanja modal (capex) yang signifikan sebesar Rp55 triliun pada tahun 2025 untuk pembangunan infrastruktur gas dan mendukung transisi energi. Namun, di tengah berita positif dan rencana pengembangan ini, muncul kembali pembahasan mengenai tragedi masa lalu, yaitu pengungkapan perusahaan yang berada di balik bencana semburan lumpur panas Lapindo yang telah mengubah wajah Sidoarjo secara drastis.",Negatif,"Meskipun terdapat dua berita positif mengenai amannya distribusi LPG dan rencana investasi besar oleh PGN, sentimen secara keseluruhan dinilai negatif. Hal ini disebabkan oleh bobot pemberitaan mengenai bencana lumpur panas Sidoarjo yang sangat berat. Bencana tersebut merupakan salah satu tragedi lingkungan dan sosial terbesar dalam sejarah Indonesia modern, dengan dampak kerusakan permanen, hilangnya tempat tinggal ribuan warga, dan masalah yang belum sepenuhnya terselesaikan hingga kini. Pengingatan kembali akan tragedi ini membangkitkan memori kolektif akan penderitaan dan kerugian besar. Oleh karena itu, dampak emosional dan skala dari berita bencana ini jauh melampaui berita positif tentang layanan publik dan rencana korporasi, sehingga membuat sentimen keseluruhan cenderung negatif."
